Koordinatensystem : Lambert konform konisch
Rechtswert        : 4218500 Meter
Hochwert          : 2850500 Meter
Hoehenlage        : 45 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4218500 2850500  1  1  1  -1.9 1018 195  1.8 4  3.3  98    0    0 241 -315  1
4218500 2850500  1  1  2  -2.1 1018 148  1.4 4  3.2  99    0    0 242 -316  1
4218500 2850500  1  1  3  -2.1 1018 126  1.2 4  3.2 100    0    0 261 -317  1
4218500 2850500  1  1  4  -2.0 1019 132  1.2 5  3.2  99    0    0 279 -317  1
4218500 2850500  1  1  5  -1.6 1018 156  1.5 6  3.3  99    0    0 270 -317  1
4218500 2850500  1  1  6  -1.2 1018 137  1.7 6  3.4  99    0    0 272 -318  1
4218500 2850500  1  1  7  -1.2 1018 165  2.6 6  3.4  98    0    0 285 -318  1
4218500 2850500  1  1  8  -1.1 1018 194  2.6 7  3.4  99    0    0 291 -318  1
4218500 2850500  1  1  9  -0.3 1017 187  2.0 7  3.6 100    0    0 299 -319  1
4218500 2850500  1  1 10   0.2 1018 187  2.5 7  3.7  99    0    9 302 -320  1
4218500 2850500  1  1 11   0.4 1017 177  2.6 7  3.8  99    0   43 304 -322  1
4218500 2850500  1  1 12   0.9 1017 193  2.4 6  3.9  99   11  109 300 -324  1
4218500 2850500  1  1 13   1.5 1017 196  2.7 8  3.9  95    1   78 308 -326  1
4218500 2850500  1  1 14   1.8 1016 184  2.6 7  3.9  92    0   59 316 -328  1
4218500 2850500  1  1 15   2.0 1015 193  2.1 7  4.0  91    0   25 311 -330  1
4218500 2850500  1  1 16   1.9 1015 208  2.8 8  4.0  92    0    4 318 -333  1
4218500 2850500  1  1 17   1.9 1015 199  2.8 8  4.1  93    0    0 325 -335  1
4218500 2850500  1  1 18   1.6 1015 187  2.4 8  4.1  95    0    0 324 -336  1
4218500 2850500  1  1 19   1.8 1015 195  2.9 8  4.2  98    0    0 323 -336  1
4218500 2850500  1  1 20   2.1 1015 195  2.8 8  4.3  98    0    0 322 -333  1
4218500 2850500  1  1 21   2.0 1015 215  2.5 7  4.3  98    0    0 316 -328  1
4218500 2850500  1  1 22   2.2 1015 286  2.1 7  4.3  98    0    0 308 -327  1
4218500 2850500  1  1 23   2.6 1016 271  1.8 7  4.4  97    0    0 307 -326  1
